Week,ProtoPort,Connections,Outbound,Inbound,TotalBytes
Feb 2020,tcp/80,69843,317082259199,3528849221,320611108420
Feb 2020,tcp/443,22693,31200525793,1190892729,32391418522
Feb 2020,tcp/22,512,2202934956,5044393189,7247328145
Apr 2020,tcp/80,84698,396667149358,6306696605,402973845963
Apr 2020,tcp/443,42526,89470708816,3744791893,93215500709
Apr 2020,tcp/22,2270,16927810599,7319853739,24247664338
Sept 2020,tcp/443,70956,398754208236,10222860837,408977069073
Sept 2020,tcp/80,108365,283543756539,3647266892,287191023431
Sept 2020,tcp/22,2356,113348030625,21685049768,135033080393
Sept 2021,tcp/80,69781,177597494235,2583502413,180180996648
Sept 2021,tcp/443,62247,140911372620,4052395553,144963768173
Sept 2021,tcp/22,1123,45982237568,1964907746,47947145314
